timestamps,Motion_State
2023-08-08 05:36:02.318001400+00:00,2
2023-08-08 05:36:02.324002+00:00,2
2023-08-08 05:36:02.330000100+00:00,2
2023-08-08 05:36:02.335997600+00:00,2
2023-08-08 05:36:02.342000100+00:00,2
2023-08-08 05:36:02.347999400+00:00,2
2023-08-08 05:36:02.354000900+00:00,2
2023-08-08 05:36:02.359999400+00:00,2
2023-08-08 05:36:02.365999800+00:00,2
2023-08-08 05:36:02.371999300+00:00,2
2023-08-08 05:36:02.378003400+00:00,2
2023-08-08 05:36:02.384005+00:00,2
2023-08-08 05:36:02.390082500+00:00,2
2023-08-08 05:36:02.396004900+00:00,2
2023-08-08 05:36:02.402132600+00:00,2
2023-08-08 05:36:02.408004600+00:00,2
2023-08-08 05:36:02.414128800+00:00,2
2023-08-08 05:36:02.420006200+00:00,2
2023-08-08 05:36:02.426125200+00:00,2
2023-08-08 05:36:02.432004700+00:00,2
2023-08-08 05:36:02.438085300+00:00,2
2023-08-08 05:36:02.444009200+00:00,2
2023-08-08 05:36:02.450008800+00:00,2
2023-08-08 05:36:02.456004400+00:00,2
2023-08-08 05:36:02.462004900+00:00,2
2023-08-08 05:36:02.468010300+00:00,2
2023-08-08 05:36:02.474009300+00:00,2
2023-08-08 05:36:02.480007700+00:00,2
2023-08-08 05:36:02.486007200+00:00,2
2023-08-08 05:36:02.492008700+00:00,2
2023-08-08 05:36:02.498008200+00:00,2
2023-08-08 05:36:02.504010700+00:00,2
2023-08-08 05:36:02.510008300+00:00,2
2023-08-08 05:36:02.516011099+00:00,2
2023-08-08 05:36:02.522136199+00:00,2
2023-08-08 05:36:02.528010699+00:00,2
2023-08-08 05:36:02.534134200+00:00,2
2023-08-08 05:36:02.540008800+00:00,2
2023-08-08 05:36:02.546193200+00:00,2
2023-08-08 05:36:02.552014700+00:00,2
2023-08-08 05:36:02.558013200+00:00,2
2023-08-08 05:36:02.564014800+00:00,2
2023-08-08 05:36:02.570012800+00:00,2
2023-08-08 05:36:02.576011400+00:00,2
2023-08-08 05:36:02.582013900+00:00,2
2023-08-08 05:36:02.588011400+00:00,2
2023-08-08 05:36:02.594013900+00:00,2
2023-08-08 05:36:02.600012400+00:00,2
2023-08-08 05:36:02.606015400+00:00,2
2023-08-08 05:36:02.612015400+00:00,2
2023-08-08 05:36:02.618012400+00:00,2
2023-08-08 05:36:02.624015+00:00,2
2023-08-08 05:36:02.630013500+00:00,2
2023-08-08 05:36:02.636014100+00:00,2
2023-08-08 05:36:02.642140900+00:00,2
2023-08-08 05:36:02.648017+00:00,2
2023-08-08 05:36:02.654144800+00:00,2
2023-08-08 05:36:02.660021300+00:00,2
2023-08-08 05:36:02.666138400+00:00,2
2023-08-08 05:36:02.672020800+00:00,2
2023-08-08 05:36:02.678017400+00:00,2
2023-08-08 05:36:02.684019+00:00,2
2023-08-08 05:36:02.690099700+00:00,2
2023-08-08 05:36:02.696017100+00:00,2
2023-08-08 05:36:02.702018500+00:00,2
2023-08-08 05:36:02.708020600+00:00,2
2023-08-08 05:36:02.714018400+00:00,2
2023-08-08 05:36:02.720018800+00:00,2
2023-08-08 05:36:02.726022300+00:00,2
2023-08-08 05:36:02.732022800+00:00,2
2023-08-08 05:36:02.738021200+00:00,2
2023-08-08 05:36:02.744022200+00:00,2
2023-08-08 05:36:02.750020800+00:00,2
2023-08-08 05:36:02.756023300+00:00,2
2023-08-08 05:36:02.762150600+00:00,2
2023-08-08 05:36:02.768023100+00:00,2
2023-08-08 05:36:02.774145800+00:00,2
2023-08-08 05:36:02.780024200+00:00,2
2023-08-08 05:36:02.786147+00:00,2
2023-08-08 05:36:02.792025600+00:00,2
2023-08-08 05:36:02.798023100+00:00,2
2023-08-08 05:36:02.804025600+00:00,2
2023-08-08 05:36:02.810027800+00:00,2
2023-08-08 05:36:02.816024600+00:00,2
2023-08-08 05:36:02.822022100+00:00,2
2023-08-08 05:36:02.828023600+00:00,2
2023-08-08 05:36:02.834025100+00:00,2
2023-08-08 05:36:02.840024600+00:00,2
2023-08-08 05:36:02.846088800+00:00,2
2023-08-08 05:36:02.852028400+00:00,2
2023-08-08 05:36:02.858027500+00:00,2
2023-08-08 05:36:02.864027+00:00,2
2023-08-08 05:36:02.870025600+00:00,2
2023-08-08 05:36:02.876027200+00:00,2
2023-08-08 05:36:02.882157800+00:00,2
2023-08-08 05:36:02.888029200+00:00,2
2023-08-08 05:36:02.894151900+00:00,2
2023-08-08 05:36:02.900031400+00:00,2
2023-08-08 05:36:02.906150+00:00,2
2023-08-08 05:36:02.912032+00:00,2
2023-08-08 05:36:02.918107600+00:00,2
2023-08-08 05:36:02.924032100+00:00,2
2023-08-08 05:36:02.930029600+00:00,2
2023-08-08 05:36:02.936029100+00:00,2
2023-08-08 05:36:02.942030700+00:00,2
2023-08-08 05:36:02.948034+00:00,2
2023-08-08 05:36:02.954032900+00:00,2
2023-08-08 05:36:02.960032400+00:00,2
2023-08-08 05:36:02.966033900+00:00,2
2023-08-08 05:36:02.972033400+00:00,2
2023-08-08 05:36:02.978031900+00:00,2
2023-08-08 05:36:02.984034500+00:00,2
2023-08-08 05:36:02.990113200+00:00,2
2023-08-08 05:36:02.996034600+00:00,2
